Price,Close
Ticker,SPY
Date,
2019-01-02,224.38247680664062
2019-01-03,219.02810668945312
2019-01-04,226.36465454101562
2019-01-07,228.1494140625
2019-01-08,230.29298400878906
2019-01-09,231.36923217773438
2019-01-10,232.18545532226562
2019-01-11,232.27513122558594
2019-01-14,230.8580322265625
2019-01-15,233.50387573242188
2019-01-16,234.0689239501953
2019-01-17,235.8447265625
2019-01-18,238.98379516601562
2019-01-22,235.7550048828125
2019-01-23,236.2483367919922
2019-01-24,236.37384033203125
2019-01-25,238.37396240234375
2019-01-28,236.56222534179688
2019-01-29,236.2483367919922
2019-01-30,239.98834228515625
2019-01-31,242.09603881835938
2019-02-01,242.21249389648438
2019-02-04,243.91671752929688
2019-02-05,244.93905639648438
2019-02-06,244.6162109375
2019-02-07,242.28436279296875
2019-02-08,242.580322265625
2019-02-11,242.71485900878906
2019-02-12,245.8359832763672
2019-02-13,246.6342315673828
2019-02-14,246.087158203125
2019-02-15,248.76881408691406
2019-02-19,249.19940185546875
2019-02-20,249.70162963867188
2019-02-21,248.8136749267578
2019-02-22,250.35635375976562
2019-02-25,250.69715881347656
2019-02-26,250.51773071289062
2019-02-27,250.41015625
2019-02-28,249.9437255859375
2019-03-01,251.50430297851562
2019-03-04,250.58949279785156
2019-03-05,250.24864196777344
2019-03-06,248.73301696777344
2019-03-07,246.65225219726562
2019-03-08,246.15882873535156
2019-03-11,249.72845458984375
2019-03-12,250.6702423095703
2019-03-13,252.32948303222656
2019-03-14,252.16806030273438
2019-03-15,253.41383361816406
2019-03-18,254.33265686035156
2019-03-19,254.395751953125
2019-03-20,253.6300811767578
2019-03-21,256.4947509765625
2019-03-22,251.55810546875
2019-03-25,251.36898803710938
2019-03-26,253.24278259277344
2019-03-27,251.91860961914062
2019-03-28,252.87344360351562
2019-03-29,254.46778869628906
2019-04-01,257.4856262207031
2019-04-02,257.61175537109375
2019-04-03,258.0171203613281
2019-04-04,258.7018127441406
2019-04-05,259.95391845703125
2019-04-08,260.1520690917969
2019-04-09,258.81890869140625
2019-04-10,259.7017517089844
2019-04-11,259.6296081542969
2019-04-12,261.3861999511719
2019-04-15,261.2151184082031
2019-04-16,261.3861999511719
2019-04-17,260.7467041015625
2019-04-18,261.2601318359375
2019-04-22,261.4854431152344
2019-04-23,263.8365173339844
2019-04-24,263.2510070800781
2019-04-25,263.08880615234375
2019-04-26,264.31402587890625
2019-04-29,264.7283630371094
2019-04-30,264.86334228515625
2019-05-01,262.8726501464844
2019-05-02,262.30511474609375
2019-05-03,264.87249755859375
2019-05-06,263.7825012207031
2019-05-07,259.3773498535156
2019-05-08,259.0170593261719
2019-05-09,258.2333679199219
2019-05-10,259.5305480957031
2019-05-13,253.00851440429688
2019-05-14,255.29656982421875
2019-05-15,256.7919921875
2019-05-16,259.1702575683594
2019-05-17,257.4946594238281
2019-05-20,255.7921142578125
2019-05-21,258.09820556640625
2019-05-22,257.3054504394531
2019-05-23,254.16156005859375
2019-05-24,254.7380828857422
2019-05-28,252.36891174316406
2019-05-29,250.67527770996094
2019-05-30,251.35997009277344
2019-05-31,247.9728546142578
2019-06-03,247.34230041503906
2019-06-04,252.711181640625
2019-06-05,254.90023803710938
2019-06-06,256.5578308105469
2019-06-07,259.12518310546875
2019-06-10,260.3143005371094
2019-06-11,260.251220703125
2019-06-12,259.7918395996094
2019-06-13,260.8637390136719
2019-06-14,260.575439453125
2019-06-17,260.67462158203125
2019-06-18,263.4042053222656
2019-06-19,263.9987487792969
2019-06-20,266.52105712890625
2019-06-21,266.13348388671875
2019-06-24,265.8077392578125
2019-06-25,263.20074462890625
2019-06-26,262.9381408691406
2019-06-27,263.87054443359375
2019-06-28,265.2283935546875
2019-07-01,267.63623046875
2019-07-02,268.3332824707031
2019-07-03,270.4786071777344
2019-07-05,270.17083740234375
2019-07-08,268.6862487792969
2019-07-09,269.0211486816406
2019-07-10,270.3066101074219
2019-07-11,270.94024658203125
2019-07-12,272.1533203125
2019-07-15,272.24383544921875
2019-07-16,271.36572265625
2019-07-17,269.5191345214844
2019-07-18,270.5057678222656
2019-07-19,269.0030822753906
2019-07-22,269.66387939453125
2019-07-23,271.59210205078125
2019-07-24,272.86834716796875
2019-07-25,271.56488037109375
2019-07-26,273.3843688964844
2019-07-29,272.886474609375
2019-07-30,272.2166748046875
2019-07-31,269.238525390625
2019-08-01,266.89398193359375
2019-08-02,264.8843994140625
2019-08-05,256.91845703125
2019-08-06,260.5212097167969
2019-08-07,260.675048828125
2019-08-08,265.78961181640625
2019-08-09,263.9791564941406
2019-08-12,260.765625
2019-08-13,264.82098388671875
2019-08-14,256.9908447265625
2019-08-15,257.6698303222656
2019-08-16,261.4717102050781
2019-08-19,264.6217956542969
2019-08-20,262.5941467285156
2019-08-21,264.7305908203125
2019-08-22,264.6490173339844
2019-08-23,257.85089111328125
2019-08-26,260.7023620605469
2019-08-27,259.6793212890625
2019-08-28,261.5079650878906
2019-08-29,264.8481750488281
2019-08-30,264.7305908203125
2019-09-03,263.18255615234375
2019-09-04,266.1697692871094
2019-09-05,269.5915832519531
2019-09-06,269.7997131347656
2019-09-09,269.9355163574219
2019-09-10,269.8721008300781
2019-09-11,271.7912902832031
2019-09-12,272.7325744628906
2019-09-13,272.55157470703125
2019-09-16,271.7096252441406
2019-09-17,272.3976745605469
2019-09-18,272.5606384277344
2019-09-19,272.54254150390625
2019-09-20,271.2547607421875
2019-09-23,271.1911315917969
2019-09-24,269.06317138671875
2019-09-25,270.65460205078125
2019-09-26,270.0907897949219
2019-09-27,268.6356201171875
2019-09-30,269.8816223144531
2019-10-01,266.6715087890625
2019-10-02,261.9607849121094
